title,period,username,date,comment,head
pod powierzchnią,(2018-) serial TV,Ferfocel,21/11/2018 15:31,"Fajny klimat serialu, podoba mi się, obejrzałam w dwa dni 5 odcinków. Wciąga.",Klimat
pod powierzchnią,(2018-) serial TV,nick6,27/09/2018 19:32,Poda ktoś nazwę utworu który leci w zwiastunie/reklamie w tv do tego filmu? :),Muzyka z zwiastunu
pod powierzchnią,(2018-) serial TV,malami132,12/12/2018 18:08,"Zaskoczył mnie na plus. Nie przypominam sobie, aby w którejś z rodzimych produkcji poruszono temat związku nauczyciel-uczennica, choć to historia stara jak świat. Całość została nieźle poprowadzona, chociaż nie obyło się bez słabszych momentów. Choćby sam początek, gdzie bohaterowie wpadają na siebie, patrzą sobie w oczy, zamieniają dwa zdania i od razu zaczynają się całować. Nie ma żadnego napięcia i budowania relacji pomiędzy nimi. Aktorka odgrywająca rolę Oli wypadła strasznie słabo. Cały czas ta sama zbolała mina i płaczliwy ton. Najlepiej zaś zagrali Boczarska i Simlat. Zdecydowanie podwyższyli poziom, bez nich serial otarłby się o ""Ukrytą prawdę"". Na plus także ostatni odcinek. Utrzymali akcję, choć nie trudno było już się domyślić zakończenia historii kochanków i utraconego synka. Zobaczymy co przyniesie drugi sezon i czy całość nie pójdzie na dno ;)).",Pozytywne zaskoczenie
pod powierzchnią,(2018-) serial TV,Krokodyl_Giena,22/10/2018 15:46,"Ponieważ sam jestem nauczycielem mam kilka uwag:- dlaczego zawieszony Simlat ciągle pałęta się po szkole? powinien być całkowicie odsunięty do czasu wyjaśnienia sprawy...- dyrektor nie może zatrudniać swojego członka rodziny we własnej placówce, są na to nawet jakieś tam przepisy, znam szkołę, w której vice nie chce być dyr bo musiałaby zwolnić męża i córkę.- pierwszy raz w życiu widziałem tak wyposażony pokój nauczycielski, nowoczesne ksero, komputery... nawet w renomowanych publicznych placówkach czegoś takiego nie widziałem, a łażę po innych szkołach dużo - jak nie na matury to egzaminy zawodowe itp.- polonista mieszkający w domku j jeżdżący Jeepem to oksymoron (chyba, że w spadku dostał).- i to nachalne zwracanie się po imieniu do nauczyciela, kumplowanie się z nim a przy okazji posłuch i szacunek - może kiedyś, za czasów ""Ostatniego dzwonka"" by to przeszło, ale obecnie, przy współczesnych wzorcach zachowań wśród młodzieży? nie sądzę...",przesadzona wizja szkoły
pod powierzchnią,(2018-) serial TV,ac136,25/10/2018 11:26,"Jak na debiut aktorski to Maria Kowalska świetnie zagrała swoją rolę. Tak naturalnie i realistycznie wcieliła się w postać Oli. Idealnie pasuje do tej roli. Maria Kowalska o wiele lepiej zagrała swoją postać niż Marianna Kowalewska swoją postać w ""Pułapce"". Dla niej nie był to debiut, a zagrała kiepsko.Poza tym nazwiska obu aktorek są podobne.",Maria Kowalska ma udany debiut aktorski
pod powierzchnią,(2018-) serial TV,Adronitis,04/12/2018 19:53,"Po pierwszym odcinku miałam szczerą nadzieję, że pewne niedociągnięcia będą naprawiane z biegiem akcji (momenty drewnianej gry aktorskiej, głupotki scenariusza), ale niestety do końca sezonu moim zdaniem Pod powierzchnią niczego nie nauczyło się na swoich błędach. W pewnych momentach czułam genialnie zbudowany klimat, zdarzyło się kilka przyjemnych twistów, ale czasami czułam się jak na seansie maratonu paradokumentów. Simlat i Boczarska to chyba najsilniejsze punkty, choć ilość scen, w których Simlat ma do zagrania ""patrz się smutno w dal"" to dla mnie marnowanie utalentowanego aktora. Wiele było scen, które inaczej wyreżyserowane dużo mocniej zagrałyby na emocjach, odniosłam z jakiegoś powodu wrażenie ogólnej niedbałości. Mimo wszystko serial mi się podobał, ale czuję lekki zawód. To nie zmienia faktu, że to zdecydowanie krok w dobrą stronę - oby tak dalej... tylko lepiej. PS Przez większość czasu na ekranie jedna wielka nuda wizualna, jakieś budynki, niezbyt imponująca rzeka, jakieś drzewa, a czasem zdarzały się naprawdę piękne ujęcia, jak na przykład w scenie, w której Marta siedzi na balkonie i wyrzuca kwiaty od Bartka. Mam nadzieję, że te nieliczne śliczne kadry to nie był po prostu ślepy traf ;)",Jest całkiem dobrze. Mogło być lepiej. 
pod powierzchnią,(2018-) serial TV,alinee_filmweb,06/11/2018 11:43,"To już domena filmów tvn.az strach się bać.tu pierwszy odcinek zapowiadał się nadzwyczaj dobrze.swietna obsada utalentowanych aktorow.niestety dalsze odcinki klasyczna papka tvn: problem rozwiązany w jednym odcinku aby bron boze nie budowac napiecia ,nierealne dialogi,przewidywalnosc do bólu. Dlaczego od kilku lat tvn traktuje swoich widzów jak polglowkow ktorzy nie polapia się w akcji.mialkie byle jakie jak Pulapka ,Diagnoza, czy kostiumowa mega klapa z Malaszunskim której nawet tytulu nie pamietam juz..Szkoda potencjalu takich aktorow. Tak więc chcesz dobrego serialu szukaj go w netfix czy hbo.w tvn co najwyżej można z zainteresowaniem pooglądać Kuchenne Rewolucje.",Mialo być super a wyszło jak zawsze
pod powierzchnią,(2018-) serial TV,Agniecha_21,05/11/2018 00:34,"Nie wyobrażam sobie kogokolwiek innego do tej roli, a na pewno nie Alicji, która tam miała grać. Z drugiej strony przemiana Marty po pierwszym odcinku jest dla mnie zbyt piorunująca, w 1 jest załamaną kobietą w depresji, a w 3 już bawi się w psychologa i detektywa.",Boczarska szczęśliwie w obsadzie zamiast Bachledy-Córuś
pod powierzchnią,(2018-) serial TV,Kaja_76,29/10/2018 09:22,Romans dyrektora szkoly z nastolatka? Udaje ze kocha zone. Nie jest to dla mnie do przyjecia,Glowny bohater przestal mi sie podobac
pod powierzchnią,(2018-) serial TV,Agata_Gie_2,15/11/2018 23:16,"Obejrzałam 3 odcinki i więcej nie dam rady.. czuję się jakbym oglądała jakaś turecką telenowele. Pan ""derektor"" zakochuje się w młodej po 1 stosunku do którego dochodzi już w 1 szym odcinku. Pozwala jej mieszkać w swojej chatce nad rzeką, chociaż widział ją 2 x w życiu i bez wahania wręcza jej klucze jak święty Mikołaj!! Po trzech, może czterech spotkaniach deklaruje się, że rzuci żonę dla niej ale ofiarnie i asekuracyjnie przyznaje, że "" może to chwilę potrwać"".. Simlat gra spoko, ale jego postać też jest w CH.. przejaskrawiona. Niczym zbity pies wszystko przyjmuje na klatę. Jak córka go traktuje jak śmiecia, a on łazi za nią w kółko i przeprasza nie wiadomo za co, nie ma za zle lasce która oskarża go o gwałt i jeszcze chwali ją mówiąc że "" najważniejsze że przyznalas się do błędu"" a do jej brata który podpalił mu samochód mówi że "" i tak był stary i miałem kupić nowy"" szkoda że jeszcze nie kupił młodemu fury w nagrodę za to że się przyznał..",Tureckie problemy
pod powierzchnią,(2018-) serial TV,ac136,08/11/2018 00:02,"Bardzo się cieszę, że Michalina Łabacz pojawi się w tym serialu. Bardzo piękna i bardzo dobra aktorka znana z ""Wołynia"" oraz drugiego sezonu ""Belfra"".",Michalina Łabacz 
pod powierzchnią,(2018-) serial TV,LadyFox,07/11/2018 23:54,"Może i pierwszy odcinek był niezły, ale postać dyrektora i Oli są tak irytujące, że nie wiem czy włączę drugi odcinek.",Irytujące postaci
pod powierzchnią,(2018-) serial TV,julialament,05/11/2018 17:23,"Czy twórcy tych TVN-owskich seriali naprawdę nie widzą jakie irytujące, denerwujące dają główne bohaterki? Mówię tu o postaci z serialu Pod Powierzchnią, która przypomina Ewę z Pułapki. Obie krzykliwe, paskudne, bez wyrazu.",Irytujące główne bohaterki
pod powierzchnią,(2018-) serial TV,nathalie34,01/11/2018 22:54,Oglądać. Co reklama to ten serial polecają. Beznadziejna stacja tvn popadła w samouwielbienie.,Tak nachalnie promowany że aż mi się odechciało 
pod powierzchnią,(2018-) serial TV,wazka3,05/11/2018 10:03,"Czy ktoś wie, czy ten serial jest na podstawie jakiejś książki?",Książka
pod powierzchnią,(2018-) serial TV,A_La,01/11/2018 22:49,to coś ma tak wysoką ocenę? I jeszcze to beztalencie Topa gra sztucznie. Ten człowiek nie nadaje się na aktora. Jak widzę tą jego głupią gębę to mam ochotę rzucić czymś w telewizor.,Jakim cudem
pod powierzchnią,(2018-) serial TV,marinelle,22/10/2018 21:16,"Błagam powiedzcie, że to wszystko jest przesadzone i dzisiejsza młodzież nie jest taka jak się ją prezentuje!?Widzę pewna prawidłowość, w belfrze, w pułapce, w pod powierzchnią i wielu innych ostatnich produkcjach, otóż młodzież pokazana tam jest tak absurdalnie bezczelna, niezwykle butna i do granic możliwości irytująca, że aż w oczy kłuje. Przeraża mnie to :( Naprawdę dzieciaki w szkołach ""gimnazjalnych"" i średnich takie są???Jeśli takie nam rośnie społeczeństwo to ja - gdybym była Putinem czy Trumpem - chętnie właczylabym atomowy czerwony guzik",Młodzież
pod powierzchnią,(2018-) serial TV,nadzia_filmaniak,12/12/2018 23:10,Czy relacja nauczyciel- uczennica jest wogole mozliwa?kto jest winny pierwszego kroku....,czasy liceum
pod powierzchnią,(2018-) serial TV,Catch_Me,04/12/2018 12:21,strasznie irytuje mnie jej gra,W 2 sezonie mogliby zmienić główną bohaterkę
pod powierzchnią,(2018-) serial TV,IlidanDA,29/11/2018 12:08,"Właśnie widziałem zakończenie sezonu na player.Zakończenie wskazuje na drugi sezon gdyż historię tylko się rozszerzyły. Wyjaśniono, że Marta naszła na nóż w obronie męża gdy Ola chciała go dźgnąć gdy ten wyparł się jej i dziecka. Nie została specjalnie zaatakowana.Ujawniono też tajemnice sprzed lat. Opiekunka ma dziecko, zrobiła mu pranie mózgu i trzyma go gdzieś na wsi i nazywa go Staś. Wiadomo, że to Maks gdyż w napisach jest końcowych. Plusem jest to, że policjantka już wie, że to ona gdyż znalazła ulotki szkółek, szczepień itp. Nie ujawniono tylko motywu, pewnie ma coś z głową albo chciała zemścić się na Bartku.Zakończenie otwarte jest także na wątek Oli, która ucieka z Kamilem po tym jak w szoku uciekła ze szkoły. Jej ojciec dowiedział się również o romansie z dyrektorem.W drugim sezonie dalej będą ciągnąć wątek dziecka, bo Marta przeżyła w karetce po reanimacji. Ciekaw jestem ile odcinków i kiedy. Pewnie na wiosnę.",Zakończenie 1 sezonu
pod powierzchnią,(2018-) serial TV,Animalsowa,02/12/2018 23:16,"to się męczyłam razem z nią. Miałam wrażenie, że mówi na ostatnim wydechu i że męczy się przy tym niesamowicie. W pułapce darcie ryja a tutaj ledwo się słyszy.",Gdy główna bohaterka mówiła..
pod powierzchnią,(2018-) serial TV,sprinterka,02/12/2018 23:01,"Niemal od pierwszego odcinka czekałam na finał i wyjaśnienie wszystkich zagadek, a dzisiaj... Dla mnie porażka. Praktycznie nic nie zostało wyjaśnione a cała historia urwana w połowie. Czy Marta przeżyła? Czy ten dzieciak niani to syn Gajewskich? Co stało się później z bohaterami ( czyli to co najciekawsze!) - nie zostało pokazane, a drugiego sezonu ponoć ma nie być. Jestem baaardzo zawiedziona.",Bardzo rozczarowana zakończeniem
pod powierzchnią,(2018-) serial TV,aawantura,03/12/2018 00:41,"Fajnie,ze serial budzi emocje i oglada sie z zqciekawieniem jednak bohater grany przez Tope nie ma ani jednej zalety,a jest w nim wszystko co najgorsze.W zyciu nie zdaza sie tak by ludzie byli jedynie zli lub jedynie dobrzy.Jego postac jest poprostu malo wiarygodna.",Topa
pod powierzchnią,(2018-) serial TV,karras,02/12/2018 16:19,"""Trudne sprawy"" ale w poważnym, estetycznym wydaniu. Dobra gra aktorska, fajne dramy, ciągłe dolewanie oliwy do ognia, bawiłem się świetnie",złoto
pod powierzchnią,(2018-) serial TV,juliaa_stadnik,27/11/2018 15:46,"Skoro do finału sezonu pozostały 2 dni, co wy na to, żeby pobawić się teorie spiskowe? Macie jakieś podejrzenia? Maks żyje, czy może zabiła go jego własna matka, i ma zaburzenia pamięci ? (Tak, takie coś też czytałam.) Kim jest tajemniczy syn pani policjantki? Czy ma on związek z opiekunką Igą i zaginięciem syna głównych bohaterów? I o co miała na mysli przyjaciółka Marty, Ewą, kiedy mówiła Bartkowi że to wszystko co się dzieje to jest kara?Dajcie znać co myślicie",Teorie
pod powierzchnią,(2018-) serial TV,malami23_85,26/11/2018 14:22,"Coraz lepsze te nasze seriale, i nasi aktorzy coraz bardziej się wyrabiają.",Jak dla mnie ok
pod powierzchnią,(2018-) serial TV,Maggie1980,23/11/2018 09:37,Czy faktycznie utonęło?,Jak sądzicie co się stało z dzieckiem??? 
pod powierzchnią,(2018-) serial TV,grandik,23/11/2018 23:34,"Rzadko się odzywam, ale jestem po 5 odcinku i mi się naprawdę podoba!!! Genialny Topa (wzór 'Dom zły'), poprawił się Simlat (wzór 'Bez tajemnic', kicha 'Pierwsza krew' czy jakoś tak), trzeci miejsce Boczarska (nie znam kompletnie kobiety, ale talent jej jest wielki). Ciekawie gra Kowalska (debiutant). Chciałbym, aby historia utonięcia tego dzieciaka się nie rozwiązała i aby powstał drugi sezon. Michael Douglas ( 'Fatalne zauroczenie) tez to powinien obejrzeć, dużo by się jeszcze nauczył... !!! Daję 10/10.",Bez tajemnic pod powierzchnią
pod powierzchnią,(2018-) serial TV,WeronikaM_99,27/10/2018 18:36,"O co może chodzić z tą sceną gdy Boczarka ma wbity nóż? Pierwsze co przychodzi na myśl że to ta Ola zrobiła, ale wtedy zakończenie będzie du du.... gdyby tak sie ten serial zakończył",scena z 1 i 2 odc.
